iter	Passed	Remaining
764	1740	534
765	1742	532
766	1744	530
767	1747	527
768	1749	525
769	1751	523
770	1753	520
771	1755	518
772	1757	516
773	1759	513
774	1762	511
775	1763	509
776	1766	506
777	1768	504
778	1770	502
779	1772	499
780	1775	497
781	1777	495
782	1779	493
783	1781	490
784	1783	488
785	1786	486
786	1788	484
787	1790	481
788	1792	479
789	1794	477
790	1797	475
791	1800	472
792	1802	470
793	1804	468
794	1806	465
795	1808	463
796	1810	461
797	1813	458
798	1815	456
799	1817	454
800	1819	452
801	1822	449
802	1823	447
803	1826	445
804	1828	442
805	1830	440
806	1832	438
807	1834	435
808	1836	433
809	1839	431
810	1840	429
811	1842	426
812	1844	424
813	1847	422
814	1849	419
815	1851	417
816	1854	415
817	1856	412
818	1858	410
819	1860	408
820	1862	406
821	1864	403
822	1866	401
823	1868	399
824	1870	396
825	1873	394
826	1875	392
827	1877	389
828	1879	387
829	1882	385
830	1884	383
831	1886	380
832	1888	378
833	1890	376
834	1892	374
835	1895	371
836	1897	369
837	1899	367
838	1901	364
839	1903	362
840	1906	360
841	1908	358
842	1910	355
843	1912	353
844	1914	351
845	1916	348
846	1919	346
847	1921	344
848	1923	342
849	1925	339
850	1928	337
851	1930	335
852	1932	333
853	1934	330
854	1936	328
855	1939	326
856	1941	323
857	1943	321
858	1945	319
859	1948	317
860	1950	314
861	1952	312
862	1954	310
863	1956	307
864	1958	305
865	1960	303
866	1962	301
867	1964	298
868	1967	296
869	1969	294
870	1971	292
871	1974	289
872	1976	287
873	1978	285
874	1981	283
875	1983	280
876	1986	278
877	1988	276
878	1990	273
879	1992	271
880	1994	269
881	1996	267
882	1999	264
883	2001	262
884	2003	260
885	2005	258
886	2007	255
887	2009	253
888	2011	251
889	2013	248
890	2015	246
891	2018	244
892	2020	242
893	2022	239
894	2024	237
895	2026	235
896	2028	232
897	2030	230
898	2032	228
899	2035	226
900	2037	223
901	2039	221
902	2041	219
903	2043	216
904	2045	214
905	2047	212
906	2049	210
907	2051	207
908	2053	205
909	2056	203
910	2058	201
911	2060	198
912	2062	196
913	2064	194
914	2066	191
915	2068	189
916	2070	187
917	2072	185
918	2074	182
919	2077	180
920	2079	178
921	2081	176
922	2083	173
923	2085	171
924	2087	169
925	2089	167
926	2092	164
927	2094	162
928	2096	160
929	2098	157
930	2100	155
931	2102	153
932	2105	151
933	2107	148
934	2109	146
935	2111	144
936	2113	142
937	2115	139
938	2118	137
939	2120	135
940	2122	133
941	2124	130
942	2126	128
943	2128	126
944	2130	124
945	2132	121
946	2135	119
947	2137	117
948	2139	114
949	2141	112
950	2143	110
951	2145	108
952	2147	105
953	2149	103
954	2151	101
955	2153	99
956	2156	96
957	2158	94
958	2160	92
959	2162	90
960	2164	87
961	2166	85
962	2169	83
963	2171	81
964	2174	78
965	2176	76
966	2178	74
967	2181	72
968	2183	69
969	2185	67
970	2187	65
971	2189	63
972	2191	60
973	2193	58
974	2195	56
975	2198	54
976	2200	51
977	2202	49
978	2204	47
979	2206	45
980	2208	42
981	2210	40
982	2212	38
983	2214	36
984	2217	33
985	2219	31
986	2221	29
987	2223	27
988	2225	24
989	2227	22
990	2229	20
991	2231	17
992	2233	15
993	2235	13
994	2238	11
995	2240	8
996	2242	6
997	2244	4
998	2246	2
999	2248	0
